X;PHI;DB;ALPHA;C
0.01;1;0;0;234.175094604492
0.0115;1;0;0;234.222244262695
0.013;1;0;0;234.225708007813
0.0145;1;0;0;234.201843261719
0.016;1;0;0;234.082046508789
0.0175;1;0;0;233.973678588867
0.019;1;0;0;234.247955322266
0.0205;1;0;0;234.277755737305
0.022;1;0;0;234.213272094727
0.0235;1;0;0;234.101837158203
0.025;1;0;0;234.263259887695
0.0265;1;0;0;231.727752685547
0.028;1;0;0;223.347351074219
0.0295;0.909066;0;0;213.393264770508
0.031;0.909066;0;0;203.743469238281
0.0325;0.909066;0;0;193.343872070313
0.034;0.909066;0;0;182.291839599609
0.0355;0.909066;0;0;160.016738891602
0.037;0.909066;0;0;138.797760009766
0.0385;0.81989;0;0;122.678977966309
0.04;0.81989;0;0;109.427551269531
0.0415;0.81989;0;0;96.2461242675781
0.043;0.81989;0;0;83.3561248779297
0.0445;0.81989;0;0;72.396125793457
0.046;0.81989;0;0;62.510612487793
0.0475;0.81989;0;0;53.9569396972656
0.049;0.788654;0;0;45.4571418762207
0.0505;0.788654;0;0;38.2893867492676
0.052;0.788654;0;0;30.9861221313477
0.0535;0.788654;0;0;24.6810207366943
0.055;0.788654;0;0;19.5781631469727
0.0565;0.788654;0;0;14.9275512695313
0.058;0.788654;0;0;10.632040977478
0.0595;0.776008;0;0;7.24428558349609
0.061;0.776008;0;0;4.36591815948486
0.0625;0.776008;0;0;2.19448971748352
0.064;0.776008;0;0;0.820408165454865
0.0655;0.776008;0;0;0.271632641553879
0.067;0.776008;0;0;0.0742857158184052
0.0685;0.776008;0;0;0.00265306117944419
0.07;0.781509;0;0;0.0271428562700748
0.0715;0.781509;0;0;0.0659183636307716
0.073;0.781509;0;0;0.0314285717904568
